a,b
14.422,4094
14.292,4092
14.116,4059
14.044,4033
13.952,4004
13.928,3998
13.776,3950
13.608,3900
13.580,3890
13.415,3840
13.320,3812
13.268,3790
13.189,3769
13.046,3726
12.937,3691
12.883,3666
12.833,3660
12.758,3640
12.730,3625
12.644,3605
12.345,3506
12.138,3445
11.858,3360
11.613,3281
11.407,3220
11.326,3195
11.242,3170
10.831,3040
10.523,2945
10.342,2891
10.136,2826
9.919,2760
9.727,2699
9.633,2670
9.501,2634
9.368,2590
9.223,2540
9.077,2495
8.947,2456
8.757,2399
8.601,2350
8.485,2315
8.305,2257
8.140,2209
7.974,2159
7.865,2126
7.716,2082
7.540,2021
7.417,1983
7.247,1933
7.120,1893
6.978,1843
6.819,1804
6.647,1752
6.498,1708
6.354,1664
6.215,1621
6.171,1609
6.090,1592
5.984,1560
5.896,1529
5.772,1487
5.662,1454
5.538,1415
5.421,1377
5.337,1350
5.300,1338
5.272,1330
5.205,1307
5.168,1290
